"filename", "language", "SCSS", "HTML", "TypeScript", "XML", "comment", "blank", "total"
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\shared\content\content.component.html", "HTML", 0, 3, 0, 0, 0, 1, 4
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\shared\content\content.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\shared\content\content.component.spec.ts", "TypeScript", 0, 0, 19, 0, 0, 6, 25
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\shared\content\content.component.ts", "TypeScript", 0, 0, 10, 0, 0, 5, 15
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\shared\content\content.module.ts", "TypeScript", 0, 0, 17, 0, 1, 4, 22
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\shared\feedback\feedback.component.html", "HTML", 0, 35, 0, 0, 1, 1, 37
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\shared\feedback\feedback.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\shared\feedback\feedback.component.spec.ts", "TypeScript", 0, 0, 19, 0, 0, 6, 25
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\shared\feedback\feedback.component.ts", "TypeScript", 0, 0, 39, 0, 0, 7, 46
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\shared\models\event.ts", "TypeScript", 0, 0, 17, 0, 3, 2, 22
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\shared\models\post.ts", "TypeScript", 0, 0, 11, 0, 0, 2, 13
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\shared\models\user.ts", "TypeScript", 0, 0, 11, 0, 0, 2, 13
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\shared\services\events.service.ts", "TypeScript", 0, 0, 139, 0, 67, 22, 228
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\shared\services\posts.service.ts", "TypeScript", 0, 0, 121, 0, 58, 18, 197
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\shared\services\users.service.ts", "TypeScript", 0, 0, 135, 0, 65, 22, 222
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\events\event-detail\event-detail.component.html", "HTML", 0, 89, 0, 0, 0, 2, 91
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\events\event-detail\event-detail.component.scss", "SCSS", 18, 0, 0, 0, 0, 2, 20
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\events\event-detail\event-detail.component.spec.ts", "TypeScript", 0, 0, 19, 0, 0, 6, 25
